Categoria;Comportamento;T1;T2;T3;T4;T5;T6;T7;T8;T9;T10;T11;T12;T13;T14;T15;T16;T17;T18;T19;T20;T21;T22;T23;T24;T25;T26;T27;T28;T29;T30;T31;T32;T33;T34;T35;T36;T37;T38;T39;T40;T41;T42;T43;T44;T45;T46;T47;T48;T49;T50;;;;;;;;;;
Deslocamento ativo;Subindo em cima da casinha do recinto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;1;;;;;;;1;;;;;;;;;;;;;
Deslocamento ativo;Entrando no recinto da comida sem pegar comida;;;;;;;;;;1;;;2;;;;;2;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
Deslocamento ativo;Saltando de um galho a outro;;;;1;;;;;;1;3;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;
Deslocamento ativo;Correndo no galho;;;;;;;;;;;2;;3;;;4;;1;;2;;;;1;;;1;;;;1;;1;2;;1;;;;;1;;3;;1;;3;;;;;;;;;;;;;
Deslocamento ativo;Correndo no chão;;;;;;;;;;;2;;3;;;1;3;;1;;;;;1;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deslocamento ativo;Segurando a cauda e balançando;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Autocuidado;Coçando o rabo;;;;;;;;4;;;;1;;2;;;;2;;;;;;;;;;;;2;2;;;;;;;;;;;;;1;2;;;;1;;;;;;;;;;;
Autocuidado;Coçando as costas;;;;;;;;;1;;;;;;1;;1;;;;1;2;;1;;1;;1;;1;2;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;
Autocuidado;Coçando a barriga;;;1;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;
Autocuidado;Coçando a orelha;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;2;;;1;1;;;;2;;;;;;;;;;;;;;;;;;;
Autocuidado;Coçando o pé;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;
Autocuidado;Coçando o braço;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Autocuidado;Coçando cabeça com pata traseira;;;;;;1;;;;;;;;1;;;;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Autocuidado;Coçando perna;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;
Autocuidado;Coçando barriga no tronco;;;;;;;;1;;1;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Autocuidado;Lambendo a boca;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;;;1;;;1;;;;;;;;;;;;;
Autocuidado;Procurando parasita no próprio rabo;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Autocuidado;Espirrando;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;1;;;;;;1;;;;;;;;;;;;;;;;;;;;
Autocuidado;Expondo a barriga ao sol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Autocuidado;Esticando corpo no sol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Autocuidado;Defecando;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
Autocuidado;Urinando no lago;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Autocuidado;Urinando de cima da árvore;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Autocuidado;Urinando;;;;1;;;1;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interação com outros indivíduos;Perseguindo colega pelo tronco;;;;1;;;;;;;3;3;2;2;;3;;;1;2;2;;2;;;;;;;;;;;;1;;;;;;;;1;;;;2;1;;;;;;;;;;;;
Interação com outros indivíduos;Agarrando a cabeça de outro;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interação com outros indivíduos;Segurando o rabo do colega;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;
Interação com outros indivíduos;Pendurando no teto agarrado no pé do irmão;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interação com outros indivíduos;Pulando por cima do parceiro;;1;;;;2;;;1;;;;;;;2;;;;1;1;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
Interação com outros indivíduos;Pulando em cima do parceiro;;;;;;;;;1;;;;;;1;2;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interação com outros indivíduos;Cutucando colega;1;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interação com outros indivíduos;Dois indivíduos procurando parasita em um indivíduo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
